price,ratings,pagenum,originalprice,discount,brand,processor,rear_camera_mp,front_camera_mp,phone_warranty_category,box_warranty_category,battery_m_ah,display_inches,ram,storage
25999,4.6,1,32999,21%,realme,Dimensity 7400 Ultra Processor,50MP,50MP + 8MP,1 Year,1 Year,10001,6.8,8,128
7999,4.3,1,9999,20%,MOTOROLA,Helio G81 Processor,50MP,8MP,1 Year,1 Year,7000,6.88,4,64
14998,4.4,1,17499,14%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,1 Year,6500,6.7,6,128
11998,4.2,1,13999,14%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,6000,6.74,4,128
6999,4.3,1,7999,12%,Ai,T615 Processor,50MP,5MP,1 Year,1 Year,5000,6.745,4,64
6599,3.0,1,7999,17%,I,Dimensity 6300 Processor,20MP,8MP,1 Year,1 Year,4000,6.53,4,64
7499,4.1,1,9999,25%,Ai,T615 Processor,50MP,5MP,1 Year,1 Year,5000,6.745,6,128
16499,4.4,1,17999,8%,realme,Dimensity 7400 Ultra Processor,50MP,50MP + 2MP,1 Year,1 Year,7000,6.72,6,128
19999,4.3,1,20999,4%,realme,Dimensity 7400 Ultra Processor,50MP,50MP + 2MP,1 Year,1 Year,7000,6.72,8,256
14996,4.4,1,17499,14%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,1 Year,6500,6.7,6,128
22487,4.4,1,24999,10%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,5700,6.77,8,256
12029,4.2,1,13999,14%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,6000,6.74,4,128
10382,4.3,1,11999,13%,REDMI,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,5160,6.88,4,128
13060,4.3,1,14999,12%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,6000,6.74,6,128
9499,4.3,1,10999,13%,realme,Dimensity 6300 Processor,32MP,32MP,1 Year,No Warranty,6300,6.74,6,128
8499,4.2,1,10999,22%,POCO,Dimensity 6300 Processor,50MP,5MP,1 Year,1 Year,5160,6.88,4,64
863,3.1,1,1998,56%,Samsung,Dimensity 6300 Processor,50MP,0MP,1 Year,No Warranty,5500,1.8,8,0
10569,4.3,1,11999,11%,REDMI,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,5160,6.88,4,128
1198,4.0,1,1549,22%,LAVA,Mtk Processor,50MP,0MP,1 Year,1 Year,1200,2.4,32,0
994,3.9,2,1249,20%,Nokia,SC6531E Processor,50MP,0MP,Up to 6 Months,No Warranty,5500,1.77,8,0
13999,4.4,2,17999,22%,MOTOROLA,Dimensity 6300 Processor,50MP,50MP + 8MP,1 Year,1 Year,7000,6.72,8,128
25999,4.6,2,32999,21%,realme,Dimensity 7400 Ultra Processor,50MP,50MP + 8MP,1 Year,1 Year,10001,6.8,8,128
15280,4.3,2,16999,10%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,6000,6.74,8,256
1009,3.8,2,1499,32%,hmd,SC6531E Processor,50MP,50MP,1 Year,No Warranty,1000,2.0,32,0
8499,4.2,2,10999,22%,POCO,Dimensity 6300 Processor,50MP,5MP,1 Year,1 Year,5160,6.88,4,64
7249,4.3,2,8999,19%,realme,T612 Processor,32MP,5MP,1 Year,1 Year,5000,6.745,4,64
491,3.4,2,999,50%,HOTLINE,Dimensity 6300 Processor,50MP,50MP,Up to 6 Months,No Warranty,1000,1.8,32,0
6999,4.3,2,7999,12%,Ai,T615 Processor,50MP,5MP,1 Year,1 Year,5000,6.745,4,64
7299,4.3,2,8999,18%,Tecno,Unisoc T61 Processor,13MP,8MP,1 Year,No Warranty,5000,6.67,4,64
21650,4.4,2,25999,16%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,1 Year,7300,6.7,8,128
20167,4.4,2,23499,14%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,5700,6.77,8,128
20363,4.4,2,23499,13%,IQOO,Dimensity 6300 Processor,50MP,50MP,1 Year,No Warranty,5700,6.77,8,128
