product_name,price,ratings,features,pagenum,originalprice,Discount,Review
"realme P4 Power 5G (TransSilver, 128 GB)","₹25,999",4.6,8 GB RAM | 128 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display50MP + 8MP | Yes10001 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,1,"₹32,999",21% off,"1,008 Ratings & 90 Reviews"
"MOTOROLA g06 power (Pantone tapestry, 64 GB)","₹7,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera7000 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,1,"₹9,999",20% off,"6,394 Ratings & 382 Reviews"
"IQOO Z10X 5G (Titanium, 128 GB)","₹14,998",4.4,6 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera6500 mAh Battery1 Year Warranty on Handset and 6 Months Warranty on Accessories,1,"₹17,499",14% off,"9,230 Ratings & 463 Reviews"
"IQOO Z10 Lite 5G (Titanium Blue, 128 GB)","₹11,998",4.2,4 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera6000 mAh Battery1 Year Warranty,1,"₹13,999",14% off,"2,387 Ratings & 94 Reviews"
"Ai+ Pulse (Black, 64 GB)","₹6,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,1,"₹7,999",12% off,"44,538 Ratings & 2,650 Reviews"
"I Kall Z10 Smartphone - 6.53 inch HD Display with 5000mAh Battery, 20MP Rear Camera (Orange, 64 GB)","₹6,599",3,4 GB RAM | 64 GB ROM | Expandable Upto 128 GB16.59 cm (6.53 inch) Display20MP Rear Camera | 8MP Front Camera4000 mAh Battery1 year manufacturing warranty for mobile and 6 months for box accessories,1,"₹7,999",17% off,117 Ratings & 5 Reviews
"Ai+ Pulse (Black, 128 GB)","₹7,499",4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,1,"₹9,999",25% off,"6,922 Ratings & 406 Reviews"
"realme P4x 5G (Lake Green, 128 GB)","₹16,499",4.4,6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera7000 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,1,"₹17,999",8% off,"7,161 Ratings & 549 Reviews"
"realme P4x 5G (Matte Silver, 256 GB)","₹19,999",4.3,8 GB RAM | 256 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 2MP | 8MP Front Camera7000 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,1,"₹20,999",4% off,"2,359 Ratings & 201 Reviews"
"MOTOROLA g06 power (Pantone Tendril, 64 GB)","₹7,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera7000 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,1,"₹9,999",20% off,"6,394 Ratings & 382 Reviews"
"IQOO Z10X 5G (Ultramarine, 128 GB)","₹14,996",4.4,6 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera6500 mAh Battery1 Year on Handset and 6 Months on Accessories,1,"₹17,499",14% off,"9,230 Ratings & 463 Reviews"
"IQOO Z10R 5G (Aquamarine, 256 GB)","₹22,487",4.4,8 GB RAM | 256 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera5700 mAh Battery1 Year Warranty,1,"₹24,999",10% off,"3,776 Ratings & 217 Reviews"
"IQOO Z10 Lite 5G (Cyber Green, 128 GB)","₹12,029",4.2,4 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera6000 mAh Battery1 Year Warranty,1,"₹13,999",14% off,"2,387 Ratings & 94 Reviews"
"Ai+ Pulse (Sparkle Red, 64 GB)","₹6,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,1,"₹7,999",12% off,"44,538 Ratings & 2,650 Reviews"
"REDMI A4 (Sparkle Purple, 128 GB)","₹10,382",4.3,4 GB RAM | 128 GB ROM17.48 cm (6.88 inch) Display50MP Rear Camera5160 mAh Battery1 Year,1,"₹11,999",13% off,"14,848 Ratings & 618 Reviews"
"IQOO Z10 Lite 5G (Cyber Green, 128 GB)","₹13,060",4.3,6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera6000 mAh Battery1 Year Warranty,1,"₹14,999",12% off,"3,309 Ratings & 136 Reviews"
"realme Narzo 80 Lite 4G (Beach Gold, 128 GB)","₹9,499",4.3,6 GB RAM | 128 GB ROM17.12 cm (6.74 inch) HD+ Display32MP Rear Camera6300 mAh Battery1 year brand Warranty,1,"₹10,999",13% off,"1,683 Ratings & 84 Reviews"
"POCO C75 5G (Enchanted Green, 64 GB)","₹8,499",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,1,"₹10,999",22% off,"1,53,570 Ratings & 6,712 Reviews"
Samsung Guru Music 2 B310ED,₹863,3.1,32 MB RAM | 32 MB ROM | Expandable Upto 100 MB4.57 cm (1.8 inch) VGA Display0MP | 0MP Front Camera800 mAh BatteryNA Processor1 Year Warranty,1,"₹1,998",56% off,"31,559 Ratings & 2,117 Reviews"
"Ai+ Pulse (Green, 128 GB)","₹7,499",4.1,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,1,"₹9,999",25% off,"6,922 Ratings & 406 Reviews"
"Ai+ Pulse (Blue, 64 GB)","₹6,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,1,"₹7,999",12% off,"44,538 Ratings & 2,650 Reviews"
"REDMI A4 (Starry Black, 128 GB)","₹10,569",4.3,4 GB RAM | 128 GB ROM17.48 cm (6.88 inch) Display50MP Rear Camera5160 mAh Battery1 Year,1,"₹11,999",11% off,"14,848 Ratings & 618 Reviews"
"MOTOROLA g06 power (Pantone Laurel Oak, 64 GB)","₹7,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 8MP Front Camera7000 mAh BatteryHelio G81 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,1,"₹9,999",20% off,"6,394 Ratings & 382 Reviews"
LAVA A2 Smart,"₹1,198",4,4 MB RAM | 24 MB ROM | Expandable Upto 32 GB6.1 cm (2.4 inch) HVGA Display1.3MP + 0MP | 0MP Front Camera1200 mAh BatteryMtk Processor1 year manufacturer Replacement for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,1,"₹1,549",22% off,570 Ratings & 34 Reviews
"Nokia 105 Classic Single Sim Keypad Phone, Without Charger",₹994,3.9,32 MB RAM | 32 MB ROM4.5 cm (1.77 inch) Display0MP Front Camera800 mAh BatterySC6531E Processor1 Month Company Domestic Warranty by Company Authorized Service Center.,2,"₹1,249",20% off,"8,265 Ratings & 326 Reviews"
"MOTOROLA g57 power 5G (Pantone Fluidity, 128 GB)","₹13,999",4.4,8 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Full HD+ Display50MP + 8MP | 8MP Front Camera7000 mAh Battery6s Gen 4 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,2,"₹17,999",22% off,"16,678 Ratings & 906 Reviews"
"realme P4 Power 5G (TransSilver, 128 GB)","₹25,999",4.6,8 GB RAM | 128 GB ROM17.27 cm (6.8 inch) Full HD+ AMOLED Display50MP + 8MP | Yes10001 mAh BatteryDimensity 7400 Ultra Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,2,"₹32,999",21% off,"1,008 Ratings & 90 Reviews"
"IQOO Z10 Lite 5G (Titanium Blue, 256 GB)","₹15,280",4.3,8 GB RAM | 256 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera6000 mAh Battery1 Year Brand Warranty,2,"₹16,999",10% off,"2,429 Ratings & 114 Reviews"
"hmd 105 Dual Sim Keypad Phone with Built-in UPI App, Wireless FM Radio","₹1,009",3.8,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB5.08 cm (2 inch) Display1000 mAh BatterySC6531E Processor1 Year Replacement.,2,"₹1,499",32% off,"4,520 Ratings & 327 Reviews"
"POCO C75 5G (Aqua Bliss, 64 GB)","₹8,499",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,2,"₹10,999",22% off,"1,53,570 Ratings & 6,712 Reviews"
"realme C61 (Marble Black, 64 GB)","₹7,249",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.13 cm (6.745 inch) HD+ Display32MP Rear Camera | 5MP Front Camera5000 mAh BatteryT612 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories,2,"₹8,999",19% off,"44,186 Ratings & 1,448 Reviews"
HOTLINE Amaze H310,₹491,3.4,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB4.57 cm (1.8 inch) NA Display1.3MP + 0.3MP1000 mAh BatteryNA Processor3 Months Manufacture’s Warranty,2,₹999,50% off,874 Ratings & 47 Reviews
"Ai+ Pulse (Purple, 64 GB)","₹6,999",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT615 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,2,"₹7,999",12% off,"44,538 Ratings & 2,650 Reviews"
"Tecno Spark Go 1 (Magic Skin Green, 64 GB)","₹7,299",4.3,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.94 cm (6.67 inch) Display13MP Rear Camera | 8MP Front Camera5000 mAh BatteryUnisoc T61 Processor1 Year Manufacturer Warranty for Phone,2,"₹8,999",18% off,"6,605 Ratings & 314 Reviews"
"IQOO Z10 5G (Stellar Black / Black, 128 GB)","₹21,650",4.4,8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera7300 mAh Battery1 Year Warranty on Handset and 6 Months Warranty on Accessories,2,"₹25,999",16% off,"5,331 Ratings & 258 Reviews"
"IQOO Z10R 5G (Moonstone, 128 GB)","₹20,167",4.4,8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera5700 mAh Battery1 Year Warranty,2,"₹23,499",14% off,"3,776 Ratings & 217 Reviews"
"IQOO Z10R 5G (Aquamarine, 128 GB)","₹20,363",4.4,8 GB RAM | 128 GB ROM17.2 cm (6.77 inch) Display50MP Rear Camera5700 mAh Battery1 Year Warranty,2,"₹23,499",13% off,"3,776 Ratings & 217 Reviews"
"IQOO Z10 Lite 5G (Cyber Green, 256 GB)","₹16,228",4.3,8 GB RAM | 256 GB ROM17.12 cm (6.74 inch) Display50MP Rear Camera6000 mAh Battery1 Year Warranty,2,"₹16,999",4% off,"2,429 Ratings & 114 Reviews"
"POCO C75 5G (Silver Stardust, 64 GB)","₹8,499",4.2,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.48 cm (6.88 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5160 mAh Battery4s Gen 2 5G Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,2,"₹10,999",22% off,"1,53,570 Ratings & 6,712 Reviews"
Kechaoda A26,₹879,4,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB1.68 cm (0.66 inch) FWVGA Display800 mAh Battery3 Months Company Warranty,2,"₹1,499",41% off,"30,256 Ratings & 1,642 Reviews"
LAVA A1 Josh,₹999,4.2,4 MB RAM | 2 MB ROM | Expandable Upto 32 GB5.08 cm (2 inch) HVGA Display0MP | 0MP Front Camera1000 mAh BatteryMtk Processor1 Year Manufacturer Replacement Guarantee for Phone and 6 months Replacement for Accessories in the Box,2,"₹1,399",28% off,"22,836 Ratings & 2,136 Reviews"
